Pruned_Heads,Accuracy
0,0.878
1,0.878
2,0.878
3,0.878
4,0.878
5,0.878
6,0.878
7,0.878
8,0.878
9,0.878
10,0.878
11,0.877
12,0.877
13,0.878
14,0.878
15,0.878
16,0.877
17,0.878
18,0.878
19,0.878
20,0.878
21,0.877
22,0.878
23,0.878
24,0.878
25,0.878
26,0.878
27,0.878
28,0.878
29,0.879
30,0.879
31,0.879
32,0.879
33,0.88
34,0.878
35,0.88
36,0.88
37,0.88
38,0.88
39,0.88
40,0.88
41,0.882
42,0.881
43,0.881
44,0.881
45,0.884
46,0.865
47,0.86
48,0.833
49,0.833
50,0.814
51,0.812
52,0.872
53,0.871
54,0.871
55,0.87
56,0.868
57,0.868
58,0.826
59,0.826
60,0.825
61,0.822
62,0.826
63,0.841
64,0.809
65,0.815
66,0.796
67,0.797
68,0.794
69,0.793
70,0.797
71,0.796
72,0.795
73,0.787
74,0.778
75,0.782
76,0.781
77,0.772
78,0.755
79,0.742
80,0.749
81,0.729
82,0.737
83,0.709
84,0.724
85,0.716
86,0.715
87,0.71
88,0.706
89,0.7
90,0.725
91,0.722
92,0.746
93,0.677
94,0.681
95,0.69
96,0.689
97,0.697
98,0.689
99,0.693
100,0.683
101,0.763
102,0.763
103,0.765
104,0.734
105,0.734
106,0.719
107,0.719
108,0.724
109,0.772
110,0.766
111,0.768
112,0.775
113,0.766
114,0.781
115,0.781
116,0.774
117,0.776
118,0.762
119,0.765
120,0.758
121,0.751
122,0.753
123,0.75
124,0.75
125,0.75
126,0.751
127,0.749
128,0.746
129,0.746
130,0.743
131,0.725
132,0.706
133,0.709
134,0.714
135,0.712
136,0.696
137,0.697
138,0.693
139,0.697
140,0.697
141,0.696
142,0.693
143,0.692
144,0.694
145,0.694
146,0.694
147,0.695
148,0.693
149,0.691
150,0.69
151,0.69
152,0.689
153,0.687
154,0.689
155,0.689
156,0.691
157,0.687
158,0.689
159,0.689
160,0.68
161,0.655
162,0.651
163,0.655
164,0.641
165,0.641
166,0.63
167,0.632
168,0.633
169,0.634
170,0.626
171,0.625
172,0.619
173,0.607
174,0.611
175,0.603
176,0.608
177,0.611
178,0.558
179,0.554
180,0.552
181,0.557
182,0.55
183,0.548
184,0.55
185,0.546
186,0.546
187,0.549
188,0.548
189,0.547
190,0.548
191,0.545
192,0.546
193,0.542
194,0.544
195,0.543
196,0.546
197,0.541
198,0.541
199,0.542
200,0.544
201,0.542
202,0.54
203,0.544
204,0.546
205,0.545
206,0.546
207,0.55
208,0.55
209,0.551
210,0.551
211,0.549
212,0.551
213,0.548
214,0.549
215,0.547
216,0.546
217,0.549
218,0.545
219,0.544
220,0.544
221,0.543
222,0.546
223,0.543
224,0.543
225,0.549
226,0.549
227,0.549
228,0.549
229,0.549
230,0.549
231,0.549
232,0.549
233,0.549
234,0.549
235,0.549
236,0.548
237,0.547
238,0.548
239,0.55
240,0.55
241,0.55
242,0.55
243,0.549
244,0.549
245,0.548
246,0.547
247,0.549
248,0.549
249,0.549
250,0.547
251,0.549
252,0.549
253,0.548
254,0.547
255,0.548
256,0.55
257,0.548
258,0.548
259,0.549
260,0.546
261,0.549
262,0.548
263,0.547
264,0.548
265,0.548
266,0.545
267,0.545
268,0.542
269,0.545
270,0.549
271,0.547
272,0.546
273,0.537
274,0.534
275,0.53
276,0.538
277,0.537
278,0.538
279,0.54
280,0.53
281,0.529
282,0.529
283,0.527
284,0.53
285,0.528
286,0.523
287,0.523
288,0.521
289,0.518
290,0.524
291,0.515
292,0.519
293,0.517
294,0.517
295,0.521
296,0.532
297,0.533
298,0.53
299,0.539
300,0.54
301,0.534
302,0.532
303,0.535
304,0.535
305,0.537
306,0.532
307,0.539
308,0.542
309,0.544
310,0.539
311,0.546
312,0.543
313,0.534
314,0.525
315,0.545
316,0.537
317,0.528
318,0.526
319,0.532
320,0.529
321,0.528
322,0.524
323,0.533
324,0.535
325,0.541
326,0.528
327,0.529
328,0.528
329,0.533
330,0.539
331,0.539
332,0.536
333,0.533
334,0.54
335,0.531
336,0.526
337,0.535
338,0.529
339,0.53
340,0.523
341,0.528
342,0.53
343,0.526
344,0.524
345,0.528
346,0.542
347,0.532
348,0.535
349,0.536
350,0.539
351,0.542
352,0.547
353,0.544
354,0.546
355,0.544
356,0.55
357,0.55
358,0.55
359,0.55
360,0.55
361,0.55
362,0.55
363,0.55
364,0.55
365,0.55
366,0.55
367,0.55
368,0.55
369,0.55
370,0.55
371,0.55
372,0.55
373,0.55
374,0.55
375,0.55
376,0.55
377,0.55
378,0.55
379,0.55
380,0.55
381,0.55
382,0.55
383,0.55
384,0.55
