Pruned_Heads,Accuracy
0,0.878
1,0.878
2,0.878
3,0.878
4,0.878
5,0.878
6,0.881
7,0.881
8,0.881
9,0.883
10,0.883
11,0.882
12,0.884
13,0.884
14,0.879
15,0.878
16,0.879
17,0.879
18,0.883
19,0.88
20,0.882
21,0.883
22,0.878
23,0.878
24,0.879
25,0.879
26,0.877
27,0.876
28,0.881
29,0.882
30,0.878
31,0.878
32,0.877
33,0.878
34,0.876
35,0.875
36,0.875
37,0.878
38,0.881
39,0.881
40,0.88
41,0.877
42,0.878
43,0.881
44,0.881
45,0.878
46,0.878
47,0.877
48,0.88
49,0.877
50,0.875
51,0.877
52,0.876
53,0.876
54,0.876
55,0.873
56,0.875
57,0.874
58,0.877
59,0.875
60,0.877
61,0.877
62,0.876
63,0.875
64,0.87
65,0.87
66,0.873
67,0.873
68,0.871
69,0.871
70,0.864
71,0.865
72,0.865
73,0.864
74,0.863
75,0.86
76,0.86
77,0.863
78,0.862
79,0.861
80,0.863
81,0.865
82,0.863
83,0.865
84,0.864
85,0.866
86,0.86
87,0.86
88,0.86
89,0.858
90,0.858
91,0.859
92,0.856
93,0.857
94,0.857
95,0.857
96,0.852
97,0.852
98,0.853
99,0.855
100,0.853
101,0.855
102,0.854
103,0.851
104,0.853
105,0.853
106,0.852
107,0.854
108,0.857
109,0.855
110,0.854
111,0.854
112,0.853
113,0.85
114,0.847
115,0.847
116,0.849
117,0.853
118,0.85
119,0.852
120,0.853
121,0.85
122,0.856
123,0.847
124,0.848
125,0.844
126,0.844
127,0.849
128,0.848
129,0.838
130,0.838
131,0.837
132,0.831
133,0.832
134,0.828
135,0.833
136,0.837
137,0.829
138,0.829
139,0.826
140,0.817
141,0.816
142,0.807
143,0.811
144,0.81
145,0.815
146,0.815
147,0.82
148,0.815
149,0.814
150,0.824
151,0.821
152,0.82
153,0.821
154,0.82
155,0.823
156,0.82
157,0.815
158,0.815
159,0.823
160,0.82
161,0.816
162,0.811
163,0.812
164,0.796
165,0.792
166,0.791
167,0.793
168,0.794
169,0.789
170,0.797
171,0.798
172,0.794
173,0.797
174,0.797
175,0.795
176,0.79
177,0.792
178,0.791
179,0.796
180,0.8
181,0.793
182,0.792
183,0.795
184,0.795
185,0.788
186,0.792
187,0.785
188,0.794
189,0.791
190,0.788
191,0.796
192,0.794
193,0.808
194,0.802
195,0.798
196,0.799
197,0.807
198,0.802
199,0.797
200,0.8
201,0.806
202,0.801
203,0.801
204,0.802
205,0.795
206,0.811
207,0.808
208,0.811
209,0.809
210,0.801
211,0.796
212,0.798
213,0.796
214,0.788
215,0.791
216,0.797
217,0.797
218,0.798
219,0.798
220,0.787
221,0.783
222,0.79
223,0.779
224,0.76
225,0.76
226,0.761
227,0.765
228,0.761
229,0.724
230,0.722
231,0.722
232,0.722
233,0.728
234,0.708
235,0.695
236,0.679
237,0.675
238,0.679
239,0.683
240,0.688
241,0.687
242,0.683
243,0.68
244,0.678
245,0.673
246,0.644
247,0.648
248,0.635
249,0.617
250,0.615
251,0.618
252,0.62
253,0.611
254,0.614
255,0.629
256,0.635
257,0.632
258,0.65
259,0.641
260,0.65
261,0.648
262,0.648
263,0.656
264,0.655
265,0.653
266,0.652
267,0.634
268,0.631
269,0.636
270,0.641
271,0.644
272,0.64
273,0.641
274,0.658
275,0.654
276,0.692
277,0.711
278,0.704
279,0.705
280,0.696
281,0.695
282,0.704
283,0.706
284,0.722
285,0.728
286,0.729
287,0.722
288,0.723
289,0.728
290,0.722
291,0.743
292,0.624
293,0.662
294,0.694
295,0.654
296,0.676
297,0.635
298,0.646
299,0.652
300,0.658
301,0.541
302,0.461
303,0.463
304,0.464
305,0.466
306,0.46
307,0.46
308,0.462
309,0.462
310,0.452
311,0.452
312,0.454
313,0.454
314,0.452
315,0.452
316,0.454
317,0.46
318,0.458
319,0.453
320,0.516
321,0.526
322,0.529
323,0.458
324,0.465
325,0.454
326,0.462
327,0.456
328,0.472
329,0.455
330,0.45
331,0.575
332,0.577
333,0.575
334,0.59
335,0.598
336,0.593
337,0.584
338,0.583
339,0.578
340,0.57
341,0.57
342,0.573
343,0.574
344,0.574
345,0.576
346,0.57
347,0.563
348,0.563
349,0.556
350,0.551
351,0.551
352,0.551
353,0.551
354,0.555
355,0.552
356,0.55
357,0.55
358,0.55
359,0.551
360,0.55
361,0.55
362,0.55
363,0.55
364,0.55
365,0.55
366,0.55
367,0.55
368,0.55
369,0.55
370,0.55
371,0.55
372,0.55
373,0.55
374,0.55
375,0.55
376,0.55
377,0.55
378,0.55
379,0.55
380,0.55
381,0.55
382,0.55
383,0.55
384,0.55
