Pruned_Heads,Accuracy
0,0.878
1,0.878
2,0.878
3,0.878
4,0.878
5,0.878
6,0.878
7,0.878
8,0.878
9,0.878
10,0.878
11,0.878
12,0.878
13,0.878
14,0.878
15,0.878
16,0.878
17,0.878
18,0.878
19,0.878
20,0.878
21,0.878
22,0.878
23,0.878
24,0.878
25,0.878
26,0.878
27,0.878
28,0.878
29,0.878
30,0.878
31,0.878
32,0.878
33,0.881
34,0.881
35,0.88
36,0.88
37,0.88
38,0.88
39,0.879
40,0.879
41,0.879
42,0.879
43,0.879
44,0.879
45,0.879
46,0.879
47,0.879
48,0.879
49,0.879
50,0.879
51,0.88
52,0.88
53,0.88
54,0.88
55,0.88
56,0.88
57,0.88
58,0.882
59,0.882
60,0.882
61,0.882
62,0.882
63,0.882
64,0.881
65,0.881
66,0.881
67,0.881
68,0.881
69,0.877
70,0.844
71,0.833
72,0.834
73,0.819
74,0.825
75,0.827
76,0.824
77,0.814
78,0.789
79,0.781
80,0.752
81,0.763
82,0.752
83,0.756
84,0.756
85,0.754
86,0.753
87,0.749
88,0.753
89,0.759
90,0.765
91,0.763
92,0.752
93,0.75
94,0.76
95,0.753
96,0.756
97,0.762
98,0.766
99,0.761
100,0.764
101,0.769
102,0.769
103,0.766
104,0.766
105,0.766
106,0.767
107,0.769
108,0.768
109,0.773
110,0.758
111,0.759
112,0.761
113,0.753
114,0.758
115,0.759
116,0.758
117,0.758
118,0.766
119,0.759
120,0.746
121,0.745
122,0.746
123,0.745
124,0.748
125,0.747
126,0.745
127,0.747
128,0.751
129,0.749
130,0.749
131,0.749
132,0.749
133,0.749
134,0.746
135,0.745
136,0.745
137,0.75
138,0.754
139,0.771
140,0.776
141,0.773
142,0.777
143,0.774
144,0.807
145,0.807
146,0.806
147,0.804
148,0.804
149,0.813
150,0.829
151,0.828
152,0.832
153,0.831
154,0.83
155,0.831
156,0.824
157,0.825
158,0.829
159,0.83
160,0.832
161,0.833
162,0.831
163,0.83
164,0.831
165,0.831
166,0.833
167,0.834
168,0.83
169,0.831
170,0.828
171,0.828
172,0.826
173,0.829
174,0.833
175,0.828
176,0.832
177,0.828
178,0.829
179,0.83
180,0.831
181,0.831
182,0.833
183,0.83
184,0.837
185,0.836
186,0.842
187,0.845
188,0.842
189,0.841
190,0.84
191,0.845
192,0.842
193,0.852
194,0.85
195,0.853
196,0.855
197,0.851
198,0.849
199,0.848
200,0.849
201,0.845
202,0.852
203,0.841
204,0.846
205,0.848
206,0.85
207,0.859
208,0.857
209,0.859
210,0.86
211,0.852
212,0.859
213,0.853
214,0.861
215,0.862
216,0.86
217,0.863
218,0.863
219,0.859
220,0.854
221,0.856
222,0.851
223,0.85
224,0.855
225,0.856
226,0.857
227,0.854
228,0.855
229,0.852
230,0.858
231,0.858
232,0.855
233,0.857
234,0.858
235,0.859
236,0.857
237,0.854
238,0.86
239,0.859
240,0.864
241,0.863
242,0.865
243,0.864
244,0.861
245,0.864
246,0.861
247,0.859
248,0.854
249,0.852
250,0.857
251,0.86
252,0.858
253,0.858
254,0.861
255,0.865
256,0.864
257,0.861
258,0.865
259,0.861
260,0.863
261,0.86
262,0.857
263,0.858
264,0.858
265,0.861
266,0.862
267,0.858
268,0.865
269,0.859
270,0.856
271,0.852
272,0.846
273,0.849
274,0.847
275,0.842
276,0.843
277,0.841
278,0.845
279,0.843
280,0.842
281,0.83
282,0.825
283,0.827
284,0.819
285,0.816
286,0.815
287,0.81
288,0.808
289,0.804
290,0.804
291,0.798
292,0.788
293,0.79
294,0.792
295,0.786
296,0.79
297,0.781
298,0.784
299,0.789
300,0.757
301,0.756
302,0.739
303,0.737
304,0.727
305,0.718
306,0.715
307,0.71
308,0.659
309,0.647
310,0.657
311,0.643
312,0.644
313,0.652
314,0.658
315,0.652
316,0.656
317,0.647
318,0.645
319,0.649
320,0.648
321,0.65
322,0.646
323,0.634
324,0.634
325,0.608
326,0.6
327,0.596
328,0.555
329,0.55
330,0.55
331,0.55
332,0.552
333,0.55
334,0.549
335,0.553
336,0.55
337,0.549
338,0.55
339,0.548
340,0.549
341,0.549
342,0.549
343,0.55
344,0.55
345,0.548
346,0.55
347,0.55
348,0.549
349,0.55
350,0.55
351,0.55
352,0.55
353,0.55
354,0.55
355,0.55
356,0.55
357,0.55
358,0.55
359,0.55
360,0.55
361,0.55
362,0.55
363,0.55
364,0.55
365,0.55
366,0.549
367,0.55
368,0.55
369,0.552
370,0.549
371,0.549
372,0.546
373,0.55
374,0.549
375,0.548
376,0.55
377,0.549
378,0.551
379,0.55
380,0.55
381,0.55
382,0.55
383,0.55
384,0.55
