Pruned_Heads,Accuracy
0,0.878
1,0.881
2,0.886
3,0.89
4,0.888
5,0.886
6,0.881
7,0.885
8,0.881
9,0.883
10,0.887
11,0.889
12,0.885
13,0.889
14,0.888
15,0.89
16,0.891
17,0.895
18,0.891
19,0.89
20,0.893
21,0.894
22,0.889
23,0.888
24,0.882
25,0.882
26,0.881
27,0.88
28,0.876
29,0.886
30,0.882
31,0.882
32,0.891
33,0.891
34,0.889
35,0.891
36,0.891
37,0.883
38,0.885
39,0.885
40,0.877
41,0.863
42,0.873
43,0.872
44,0.877
45,0.876
46,0.879
47,0.879
48,0.875
49,0.872
50,0.874
51,0.874
52,0.868
53,0.867
54,0.85
55,0.831
56,0.836
57,0.843
58,0.813
59,0.801
60,0.796
61,0.794
62,0.788
63,0.804
64,0.787
65,0.785
66,0.797
67,0.797
68,0.809
69,0.798
70,0.793
71,0.785
72,0.785
73,0.785
74,0.792
75,0.797
76,0.808
77,0.799
78,0.786
79,0.766
80,0.767
81,0.765
82,0.769
83,0.769
84,0.751
85,0.716
86,0.713
87,0.733
88,0.719
89,0.715
90,0.678
91,0.696
92,0.718
93,0.727
94,0.691
95,0.642
96,0.658
97,0.639
98,0.653
99,0.633
100,0.651
101,0.668
102,0.657
103,0.673
104,0.662
105,0.67
106,0.703
107,0.698
108,0.684
109,0.686
110,0.686
111,0.68
112,0.642
113,0.644
114,0.642
115,0.642
116,0.659
117,0.66
118,0.639
119,0.65
120,0.654
121,0.651
122,0.649
123,0.629
124,0.648
125,0.65
126,0.646
127,0.635
128,0.641
129,0.63
130,0.638
131,0.658
132,0.634
133,0.627
134,0.609
135,0.608
136,0.607
137,0.608
138,0.604
139,0.638
140,0.627
141,0.637
142,0.63
143,0.618
144,0.599
145,0.585
146,0.55
147,0.55
148,0.55
149,0.55
150,0.552
151,0.55
152,0.55
153,0.55
154,0.55
155,0.55
156,0.55
157,0.55
158,0.55
159,0.55
160,0.55
161,0.55
162,0.55
163,0.55
164,0.55
165,0.55
166,0.55
167,0.55
168,0.55
169,0.55
170,0.55
171,0.55
172,0.55
173,0.55
174,0.55
175,0.55
176,0.55
177,0.55
178,0.55
179,0.55
180,0.55
181,0.55
182,0.55
183,0.55
184,0.55
185,0.55
186,0.55
187,0.55
188,0.55
189,0.55
190,0.55
191,0.55
192,0.55
193,0.55
194,0.55
195,0.55
196,0.55
197,0.55
198,0.55
199,0.55
200,0.55
201,0.55
202,0.55
203,0.55
204,0.55
205,0.55
206,0.55
207,0.55
208,0.55
209,0.55
210,0.55
211,0.55
212,0.55
213,0.55
214,0.55
215,0.55
216,0.55
217,0.55
218,0.55
219,0.55
220,0.55
221,0.55
222,0.55
223,0.55
224,0.55
225,0.55
226,0.55
227,0.55
228,0.55
229,0.55
230,0.55
231,0.55
232,0.55
233,0.55
234,0.55
235,0.55
236,0.55
237,0.55
238,0.55
239,0.55
240,0.55
241,0.55
242,0.55
243,0.55
244,0.55
245,0.55
246,0.55
247,0.55
248,0.55
249,0.55
250,0.55
251,0.55
252,0.55
253,0.55
254,0.55
255,0.55
256,0.55
257,0.55
258,0.55
259,0.55
260,0.55
261,0.55
262,0.55
263,0.55
264,0.55
265,0.55
266,0.55
267,0.55
268,0.55
269,0.55
270,0.55
271,0.55
272,0.55
273,0.55
274,0.55
275,0.55
276,0.55
277,0.55
278,0.55
279,0.55
280,0.55
281,0.55
282,0.55
283,0.55
284,0.551
285,0.55
286,0.55
287,0.55
288,0.55
289,0.55
290,0.55
291,0.55
292,0.55
293,0.55
294,0.55
295,0.551
296,0.55
297,0.55
298,0.55
299,0.55
300,0.55
301,0.55
302,0.55
303,0.55
304,0.55
305,0.55
306,0.549
307,0.55
308,0.549
309,0.549
310,0.556
311,0.551
312,0.555
313,0.554
314,0.551
315,0.549
316,0.549
317,0.55
318,0.55
319,0.55
320,0.55
321,0.55
322,0.55
323,0.549
324,0.55
325,0.55
326,0.551
327,0.55
328,0.55
329,0.55
330,0.55
331,0.55
332,0.55
333,0.55
334,0.55
335,0.55
336,0.55
337,0.55
338,0.55
339,0.55
340,0.55
341,0.55
342,0.55
343,0.55
344,0.55
345,0.55
346,0.55
347,0.55
348,0.55
349,0.55
350,0.55
351,0.55
352,0.55
353,0.55
354,0.55
355,0.55
356,0.55
357,0.55
358,0.55
359,0.55
360,0.55
361,0.55
362,0.55
363,0.55
364,0.55
365,0.55
366,0.55
367,0.55
368,0.55
369,0.55
370,0.55
371,0.55
372,0.55
373,0.55
374,0.55
375,0.55
376,0.55
377,0.55
378,0.55
379,0.55
380,0.55
381,0.55
382,0.55
383,0.55
384,0.55
