Pruned_Heads,Accuracy
0,0.9973
1,0.9974
2,0.9974
3,0.9974
4,0.9974
5,0.9974
6,0.9974
7,0.9974
8,0.9974
9,0.9974
10,0.9974
11,0.9974
12,0.9973
13,0.9973
14,0.9973
15,0.9974
16,0.9974
17,0.9974
18,0.9974
19,0.9974
20,0.9971
21,0.9965
22,0.9962
23,0.9957
24,0.9956
25,0.9955
26,0.9954
27,0.996
28,0.9955
29,0.9955
30,0.9957
31,0.9945
32,0.9926
33,0.9916
34,0.9912
35,0.9915
36,0.9867
37,0.9855
38,0.8364
39,0.844
40,0.8028
41,0.7895
42,0.7219
43,0.6738
44,0.3201
45,0.3149
46,0.2632
47,0.1431
48,0.1394
49,0.1185
50,0.1332
51,0.1348
52,0.1295
53,0.0536
54,0.0539
55,0.0539
56,0.0537
57,0.0539
58,0.0531
59,0.0525
60,0.0528
61,0.0524
62,0.0513
63,0.0507
64,0.0511
65,0.05
66,0.05
67,0.05
68,0.05
69,0.05
70,0.05
71,0.05
72,0.05
73,0.05
74,0.05
75,0.05
76,0.05
77,0.05
78,0.05
79,0.05
80,0.05
81,0.05
82,0.05
83,0.05
84,0.05
85,0.05
86,0.05
87,0.05
88,0.05
89,0.05
90,0.05
91,0.05
92,0.05
93,0.05
94,0.05
95,0.05
96,0.05
97,0.05
98,0.05
99,0.05
100,0.05
101,0.05
102,0.05
103,0.05
104,0.05
105,0.05
106,0.05
107,0.05
108,0.05
109,0.05
110,0.05
111,0.05
112,0.05
113,0.05
114,0.05
115,0.05
116,0.05
117,0.05
118,0.05
119,0.05
120,0.05
121,0.05
122,0.05
123,0.05
124,0.05
125,0.05
126,0.05
127,0.05
128,0.05
129,0.05
130,0.05
131,0.05
132,0.05
133,0.05
134,0.05
135,0.05
136,0.05
137,0.05
138,0.05
139,0.05
140,0.05
141,0.05
142,0.05
143,0.05
144,0.05
