Pruned_Heads,Accuracy
0,0.9973
1,0.9974
2,0.9974
3,0.9973
4,0.9973
5,0.9973
6,0.9973
7,0.9973
8,0.9973
9,0.9973
10,0.9972
11,0.9973
12,0.9973
13,0.9973
14,0.997
15,0.997
16,0.997
17,0.997
18,0.9966
19,0.9965
20,0.9965
21,0.9965
22,0.9964
23,0.9965
24,0.9965
25,0.9965
26,0.9965
27,0.9965
28,0.9966
29,0.9966
30,0.9966
31,0.9966
32,0.9966
33,0.9961
34,0.9963
35,0.9963
36,0.9962
37,0.9961
38,0.9962
39,0.9964
40,0.9964
41,0.9961
42,0.996
43,0.9963
44,0.9962
45,0.9962
46,0.9959
47,0.9958
48,0.9958
49,0.996
50,0.9958
51,0.9957
52,0.9956
53,0.9956
54,0.9957
55,0.9956
56,0.9956
57,0.9955
58,0.9955
59,0.9954
60,0.9952
61,0.9954
62,0.9955
63,0.9954
64,0.9956
65,0.9955
66,0.9951
67,0.9952
68,0.9951
69,0.9949
70,0.995
71,0.9951
72,0.995
73,0.9948
74,0.9948
75,0.995
76,0.995
77,0.9949
78,0.995
79,0.9949
80,0.9947
81,0.9948
82,0.9948
83,0.994
84,0.994
85,0.9941
86,0.9942
87,0.9931
88,0.9931
89,0.9933
90,0.9924
91,0.9925
92,0.9697
93,0.9628
94,0.9609
95,0.9604
96,0.9581
97,0.9479
98,0.9165
99,0.7396
100,0.7365
101,0.6889
102,0.6215
103,0.4977
104,0.499
105,0.4869
106,0.469
107,0.2455
108,0.2543
109,0.1723
110,0.1644
111,0.1512
112,0.0939
113,0.0806
114,0.0662
115,0.0529
116,0.05
117,0.0501
118,0.0502
119,0.0501
120,0.0501
121,0.0501
122,0.0501
123,0.05
124,0.05
125,0.05
126,0.05
127,0.05
128,0.05
129,0.05
130,0.05
131,0.05
132,0.05
133,0.05
134,0.05
135,0.05
136,0.05
137,0.05
138,0.05
139,0.05
140,0.05
141,0.05
142,0.05
143,0.05
144,0.05
