Pruned_Heads,Accuracy
0,0.9973
1,0.9983333333333333
2,0.9983333333333333
3,0.9983333333333333
4,0.997
5,0.995
6,0.963
7,0.934
8,0.931
9,0.9383333333333334
10,0.903
11,0.786
12,0.7906666666666666
13,0.7806666666666666
14,0.77
15,0.7696666666666667
16,0.7553333333333333
17,0.7586666666666667
18,0.7676666666666667
19,0.7676666666666667
20,0.8003333333333333
21,0.8053333333333333
22,0.7993333333333333
23,0.7936666666666666
24,0.802
25,0.8053333333333333
26,0.802
27,0.7903333333333333
28,0.7786666666666666
29,0.7836666666666666
30,0.7846666666666666
31,0.7333333333333333
32,0.708
33,0.6993333333333334
34,0.7466666666666667
35,0.7386666666666667
36,0.731
37,0.7116666666666667
38,0.7083333333333334
39,0.7336666666666667
40,0.6823333333333333
41,0.668
42,0.7353333333333333
43,0.6773333333333333
44,0.6813333333333333
45,0.6643333333333333
46,0.51
47,0.306
48,0.14233333333333334
49,0.12866666666666668
50,0.11566666666666667
51,0.076
52,0.052
53,0.052
54,0.052
55,0.052
56,0.052
57,0.052
58,0.052
59,0.052
60,0.052
61,0.052
62,0.052
63,0.052
64,0.052
65,0.052
66,0.052
67,0.052
68,0.052
69,0.052
70,0.052
71,0.052
72,0.052
73,0.052
74,0.052
75,0.052
76,0.052
77,0.052
78,0.052
79,0.052
80,0.052
81,0.052
82,0.052
83,0.052
84,0.052
85,0.052
86,0.052
87,0.052
88,0.052
89,0.052
90,0.052
91,0.052
92,0.052
93,0.052
94,0.052
95,0.052
96,0.052
97,0.052
98,0.052
99,0.052
100,0.052
101,0.052
102,0.052
103,0.052
104,0.052
105,0.052
106,0.052
107,0.052
108,0.052
109,0.052
110,0.052
111,0.052
112,0.052
113,0.052
114,0.052
115,0.052
116,0.052
117,0.052
118,0.052
119,0.052
120,0.052
121,0.052
122,0.052
123,0.052
124,0.052
125,0.052
126,0.052
127,0.052
128,0.052
129,0.052
130,0.052
131,0.052
132,0.052
133,0.052
134,0.052
135,0.052
136,0.052
137,0.052
138,0.052
139,0.052
140,0.052
141,0.052
142,0.052
143,0.052
144,0.052
